,Time,Station,Temperature
492,1964-06-01,NOVOLAZAREVSK,-14.8
493,1964-06-01,MOLODEZNAJA,-15.5
494,1964-06-01,VOSTOK,-68.8
495,1964-06-01,MCMURDO,-27.8
496,1964-07-01,AMUNDSEN-SCOT,-53.2
497,1964-07-01,HALLEY,-23.6
498,1964-07-01,ROTHERA POINT,-9.0
499,1964-07-01,NOVOLAZAREVSK,-14.4
500,1964-07-01,MOLODEZNAJA,-17.2
501,1964-07-01,VOSTOK,-61.0
502,1964-07-01,MCMURDO,-19.4
503,1964-08-01,AMUNDSEN-SCOT,-55.7
504,1964-08-01,HALLEY,-31.1
505,1964-08-01,ROTHERA POINT,-3.4
506,1964-08-01,NOVOLAZAREVSK,-14.6
507,1964-08-01,MOLODEZNAJA,-14.7
508,1964-08-01,VOSTOK,-66.6
509,1964-08-01,MCMURDO,-21.7
510,1964-09-01,AMUNDSEN-SCOT,-57.2
511,1964-09-01,HALLEY,-34.7
512,1964-09-01,ROTHERA POINT,-17.5
513,1964-09-01,NOVOLAZAREVSK,-16.3
514,1964-09-01,MOLODEZNAJA,-14.9
515,1964-09-01,VOSTOK,-62.0
516,1964-09-01,MCMURDO,-31.4
517,1964-10-01,AMUNDSEN-SCOT,-63.2
518,1964-10-01,HALLEY,-34.3
519,1964-10-01,ROTHERA POINT,-7.0
520,1964-10-01,NOVOLAZAREVSK,-20.9
521,1964-10-01,MOLODEZNAJA,-18.8
522,1964-10-01,VOSTOK,-70.0
523,1964-10-01,MCMURDO,-24.1
524,1964-11-01,AMUNDSEN-SCOT,-52.5
525,1964-11-01,HALLEY,-24.0
526,1964-11-01,ROTHERA POINT,-0.5
527,1964-11-01,NOVOLAZAREVSK,-13.5
528,1964-11-01,MOLODEZNAJA,-14.6
529,1964-11-01,VOSTOK,-58.2
530,1964-12-01,AMUNDSEN-SCOT,-38.0
531,1964-12-01,HALLEY,-13.9
532,1964-12-01,ROTHERA POINT,1.5
533,1964-12-01,NOVOLAZAREVSK,-5.5
534,1964-12-01,MOLODEZNAJA,-5.5
535,1964-12-01,VOSTOK,-42.4
536,1964-12-01,MCMURDO,-7.8
537,1965-01-01,AMUNDSEN-SCOT,-28.4
538,1965-01-01,HALLEY,-7.2
539,1965-01-01,ROTHERA POINT,2.6
540,1965-01-01,NOVOLAZAREVSK,2.4
541,1965-01-01,MOLODEZNAJA,-0.9
542,1965-01-01,VOSTOK,-32.5
543,1965-01-01,MCMURDO,-5.6
544,1965-02-01,AMUNDSEN-SCOT,-28.4
545,1965-02-01,HALLEY,-6.2
546,1965-02-01,ROTHERA POINT,3.5
547,1965-02-01,NOVOLAZAREVSK,-1.2
548,1965-02-01,MOLODEZNAJA,-0.7
549,1965-02-01,VOSTOK,-33.6
